
Sense HAT Test Program ...

Raspberry UTC Start2021-10-23 20:11:22.377371
UTC Current Time, roll, Pitch, Yaw, AccX, AccY, AccZ, GyroX, GyroY, GyroZ, MagX, MagY, MagZ
2021-10-23 20:11:22.673502 , -3.8232679, -8.9540254, -173.4362028, 0.0410767, -0.5850220, 0.9429321, 0.7317073, 0.5487805, 0.0609756, -142.2500000, -117.3750000, -94.3750000
2021-10-23 20:11:22.969720 , -6.9933592, -16.8162198, -165.8784258, 0.0385132, -0.5811157, 0.9462891, 0.3048780, 0.2134146, -0.0304878, -143.6250000, -114.8750000, -94.6250000
2021-10-23 20:11:23.265925 , -9.7875877, -23.3352045, -157.8218676, 0.0393677, -0.5800781, 0.9471436, 0.4878049, 0.3963415, 0.0304878, -144.3750000, -114.1250000, -99.0000000
2021-10-23 20:11:23.561932 , -12.5517224, -28.0215747, -149.0024505, 0.0387573, -0.5795288, 0.9480591, -0.0304878, 0.3658537, 0.0304878, -145.1250000, -119.1250000, -94.7500000
2021-10-23 20:11:23.857165 , -15.3357845, -31.3049859, -140.1830114, 0.0385132, -0.5797729, 0.9484863, 0.2134146, 0.3353659, 0.0000000, -144.6250000, -115.6250000, -98.3750000
2021-10-23 20:11:24.153495 , -18.2543018, -33.2438005, -131.1225187, 0.0392456, -0.5823364, 0.9491577, 0.2439024, 0.4268293, 0.0000000, -144.1250000, -114.0000000, -95.0000000
2021-10-23 20:11:24.449635 , -21.0651670, -33.8769189, -122.0721792, 0.0363159, -0.5792236, 0.9492798, 0.5487805, 0.6097561, 0.0304878, -144.3750000, -116.2500000, -95.6250000
2021-10-23 20:11:24.745812 , -23.7501809, -33.5029231, -113.3332585, 0.0346069, -0.5791016, 0.9480591, 0.6097561, 0.7621951, 0.0914634, -142.3750000, -113.1250000, -95.7500000
2021-10-23 20:11:25.041833 , -26.2246328, -32.3007429, -104.8901162, 0.0363159, -0.5800781, 0.9471436, 0.2134146, 0.4268293, -0.0304878, -144.2500000, -115.7500000, -96.2500000
2021-10-23 20:11:25.337970 , -28.3760482, -30.4434477, -96.9354638, 0.0357056, -0.5828247, 0.9479980, 0.3963415, 0.3658537, 0.0000000, -143.2500000, -114.5000000, -94.8750000
2021-10-23 20:11:25.634605 , -30.0947275, -28.1833893, -89.8132745, 0.0366821, -0.5806885, 0.9495850, 0.4268293, 0.4268293, 0.0000000, -142.8750000, -111.3750000, -97.7500000
2021-10-23 20:11:25.930839 , -31.4018663, -25.6192232, -83.2087719, 0.0364990, -0.5794067, 0.9507446, 0.3963415, 0.1219512, -0.0609756, -146.2500000, -114.8750000, -96.3750000
2021-10-23 20:11:26.227477 , -32.3272751, -22.9043622, -77.4265981, 0.0358887, -0.5779419, 0.9505615, -0.0304878, 0.3963415, 0.0000000, -144.0000000, -112.8750000, -96.6250000
2021-10-23 20:11:26.523771 , -32.8770139, -20.1387896, -72.4543264, 0.0361938, -0.5785522, 0.9496460, 0.3048780, 0.5792683, 0.0304878, -142.2500000, -114.7500000, -97.1250000
