
Sense HAT Test Program ...

Raspberry UTC Start2021-10-22 14:29:46.079776
UTC Current Time, roll, Pitch, Yaw, AccX, AccY, AccZ, GyroX, GyroY, GyroZ, MagX, MagY, MagZ
2021-10-22 14:29:46.394442 , -2.4252080, -0.2083710, -167.6078092, 0.0538330, -0.2081909, 1.0170898, 0.0304878, 0.0000000, 0.0609756, -100.1250000, -8194.2500000, -57.6250000
2021-10-22 14:29:46.710083 , -4.6921050, 0.1408558, -155.6402353, 0.0550537, -0.2082520, 1.0181274, 0.0914634, 0.0000000, 0.1524390, -103.6250000, -24579.3750000, -60.1250000
2021-10-22 14:29:47.016663 , -6.5793525, 0.6543207, -144.5871172, 0.0563354, -0.2075195, 1.0178833, 0.0609756, 0.0000000, 0.1219512, -102.1250000, -8197.3750000, -58.2500000
2021-10-22 14:29:47.312509 , -8.0826987, 1.2613553, -134.8592636, 0.0540161, -0.2073975, 1.0195923, 0.2134146, 0.2439024, 0.1219512, -103.0000000, -24579.8750000, -53.7500000
2021-10-22 14:29:47.617683 , -12.3997779, -7.9733762, -127.5205376, 0.0556030, -0.2125244, 1.0181274, 0.0609756, 0.0000000, 0.1524390, -99.5000000, -3.0000000, -56.6250000
2021-10-22 14:29:47.914925 , -16.1210119, -15.9490740, -119.7925549, 0.0573120, -0.2071533, 1.0161743, 0.0304878, -0.2134146, 0.1829268, -99.5000000, -7.1250000, -56.3750000
2021-10-22 14:29:48.206910 , -15.3103059, -11.4440901, -113.5769140, 0.0545044, -0.2081299, 1.0175171, 0.0304878, 0.0304878, 0.1219512, -98.2500000, -8196.6250000, -59.8750000
2021-10-22 14:29:48.498842 , -14.6408885, -8.2815942, -108.4878099, 0.0553589, -0.2091675, 1.0168457, 0.0609756, 0.0304878, 0.1219512, -102.3750000, -8199.3750000, -59.7500000
2021-10-22 14:29:48.795000 , -18.7777192, -14.6330633, -100.3896373, 0.0549316, -0.2059937, 1.0176392, 0.0609756, 0.0304878, 0.1219512, -101.7500000, -3.1250000, -61.3750000
2021-10-22 14:29:49.091157 , -21.9895116, -19.0447537, -92.9795149, 0.0552368, -0.2109375, 1.0182495, 0.0609756, -0.0304878, 0.1524390, -100.3750000, -3.8750000, -59.5000000
2021-10-22 14:29:49.390949 , -19.5515273, -14.9755303, -91.7599022, 0.0555420, -0.2058716, 1.0183716, 0.0000000, -0.0304878, 0.1219512, -100.5000000, -16390.3750000, -59.7500000
2021-10-22 14:29:49.687430 , -17.7240741, -12.0010294, -90.8202185, 0.0570679, -0.2063599, 1.0187988, 0.0304878, 0.0304878, 0.1524390, -101.8750000, -16385.6250000, -59.8750000
2021-10-22 14:29:49.983467 , -21.2510015, -15.8798200, -83.0069479, 0.0547485, -0.2071533, 1.0189209, 0.0304878, 0.0000000, 0.1219512, -99.3750000, -3.6250000, -56.7500000
2021-10-22 14:29:50.279540 , -23.4609115, -18.1685650, -76.5272090, 0.0551147, -0.2084351, 1.0189819, 0.0609756, -0.0304878, 0.1524390, -99.5000000, -6.2500000, -60.6250000
2021-10-22 14:29:50.575863 , -20.8952304, -15.3976564, -78.3440160, 0.0559082, -0.2092896, 1.0185547, -0.0304878, 0.0000000, 0.1524390, -98.0000000, -16387.2500000, -60.8750000
2021-10-22 14:29:50.872240 , -23.3100902, -17.3501507, -71.9179957, 0.0543213, -0.2086792, 1.0189819, 0.0000000, -0.0609756, 0.1524390, -101.8750000, -3.6250000, -60.7500000
2021-10-22 14:29:51.168480 , -20.8798177, -15.0710563, -74.5882388, 0.0540161, -0.2088013, 1.0176392, 0.0304878, -0.0304878, 0.1219512, -103.2500000, -16386.7500000, -57.6250000
2021-10-22 14:29:51.464583 , -18.9552157, -13.1326829, -76.9148906, 0.0541382, -0.2088623, 1.0164795, 0.0000000, 0.0304878, 0.1219512, -104.3750000, -24580.6250000, -57.1250000
2021-10-22 14:29:51.760546 , -21.7090317, -15.3209141, -70.0488957, 0.0543213, -0.2097778, 1.0166626, 0.0304878, 0.0304878, 0.1219512, -100.2500000, -6.8750000, -58.3750000
2021-10-22 14:29:52.056356 , -23.5295442, -16.4167510, -64.0906682, 0.0551147, -0.2095947, 1.0178223, 0.0000000, 0.0000000, 0.0914634, -100.0000000, -5.7500000, -57.5000000
2021-10-22 14:29:52.352246 , -21.2850002, -14.8607903, -68.1176106, 0.0543213, -0.2096558, 1.0178833, 0.0914634, 0.0609756, 0.1219512, -102.3750000, -8194.3750000, -59.1250000
2021-10-22 14:29:52.648966 , -18.9736618, -13.2149641, -72.5064333, 0.0309448, -0.1859131, 1.0258789, -1.0975610, 3.8414634, -15.3048780, -111.0000000, -24577.1250000, -54.3750000
2021-10-22 14:29:52.945974 , -22.6523951, -14.2694930, -64.6900592, 0.0140991, -0.2611694, 0.9716187, -12.9573171, -1.4329268, -4.4207317, -101.7500000, -10.3750000, -43.0000000
2021-10-22 14:29:53.242257 , -24.5464207, -14.3120356, -57.3543824, 0.0148315, -0.2487183, 0.9749146, -0.5792683, -3.2621951, 9.2682927, -102.5000000, -10.1250000, -43.5000000
2021-10-22 14:29:53.537823 , -23.5192850, -13.3849253, -62.2966261, 0.0173950, -0.3084717, 1.0237427, -0.0914634, -0.8231707, -2.1646341, -100.0000000, -8200.5000000, -42.7500000
2021-10-22 14:29:53.834070 , -25.3006167, -13.7273873, -55.5817011, 0.0676270, -0.3238525, 1.0361938, -4.9085366, -2.5609756, 4.1463415, -98.2500000, -18.5000000, -41.7500000
2021-10-22 14:29:54.129861 , -26.1329071, -13.0256567, -49.7951824, 0.0833740, -0.3654785, 1.0225220, -12.8353659, -8.1402439, 9.4207317, -92.5000000, -36.6250000, -28.8750000
2021-10-22 14:29:54.425950 , -25.5944942, -10.6053846, -45.1668216, 0.0332031, -0.4072266, 0.9915771, 11.1280488, 11.7682927, 7.9573171, -102.2500000, -43.3750000, -24.5000000
